"","CODIGO","DCS_avg","IHD_avg","CVD_avg","DM_avg","int_dens","int_dens_2","slope_mean","NDVI_mean","lu_entropy_a","p_area_ind","sl_p_ind","POI_dens","POI_dens_2","pdens_2017","pdens_2_t","f_hig_SES"
"68","0604",108.982829574301,56.1099408445833,13.848078121457,12.2960766415442,225.715714322208,50947.5836919844,11.2643618376359,0.294872307629319,0.897484041911158,0,0.579289374595278,34.436,1185.838096,48040.3351895454,2307.87380512387,0
"69","0605",93.573816685337,37.1059425030881,27.5592382601674,3.27593563141351,128.424260994193,16492.7908119046,13.2756931470788,0.173207032053094,0.714622900645555,0,0,46.891,2198.765881,51086.9916178907,2609.88071256644,0.000449055768467284
"70","0606",191.959245235799,91.5709137738448,33.1143465831449,14.4949302582929,205.912757651878,42400.0637638011,18.2167861040901,0.192932972655489,0.703674855651742,0,0,17.438,304.083844,56052.8914693292,3141.9266420724,0
"71","0607",118.236606433495,51.410685106682,28.4622535736836,5.17695253111099,234.517302424197,54998.3651363224,15.3248574393136,0.180498347562902,0.608348163893974,0,0,30.568,934.402624,50799.7544860582,2580.61505584379,0
"72","0608",145.957710410495,47.3013747454503,31.657136506477,17.8374371406082,185.202745750046,34300.0570333563,22.1079228719076,0.316346869810026,0.755466046540648,0,0,21.632,467.943424,41348.357164249,1709.6866401823,0
"73","0609",123.2434297408,76.1780882400239,9.26829268292683,0,210.379413799888,44259.4977507844,33.8978230794271,0.322257855359246,0.706458704105201,0,0,48.515,2353.705225,61784.2255823986,3817.29053081672,0
"74","0610",75.4064685314685,45.3,0,0,540.540560417368,292184.097456322,33.0266265869141,0.191651653599095,0.772138381418853,0,0,30.867,952.771689,63739.352287184,4062.70502998975,0
"75","0611",63.3738208967836,38.31003145294,14.0454318877733,8.11827956989247,312.540163705965,97681.3539293514,24.4714769635882,0.335465788841248,0.721215708464707,0,0,8.676,75.272976,59653.5601276784,3558.54723590654,0
"76","0612",94.3521385412757,33.5721343873518,21.7824377457405,9.20792079207921,102.618205166936,10530.4960316833,21.9846028645833,0.367147768460787,0.754179839455054,0,0,42.728,1825.681984,40933.2511215903,1675.53104738317,0
"77","0702",283.189411148791,94.7957107277333,32.8260869565217,25.6976744186047,59.5844566633625,3550.30747586812,9.35416764479417,0.438534293587752,0.599616563024469,5.73559117208988,20.3350051162129,34.025,1157.700625,12452.9756627771,155.076602857719,0
"78","0703",166.581022408175,64.6194194966799,34.9237967914438,0,56.2681066763989,3166.0998289466,12.7101135253906,0.475681552796281,0.778989399894202,0,0,5.271,27.783441,11890.6781070629,141.388225845784,0.0145791498927722
"79","0706",222.484649862375,115.017579338888,59.7295411125835,8.98809523809524,78.9931798372193,6239.92246079526,11.0980547736673,0.451793299312085,0.536668013735102,0,1.14711823441798,49.336,2434.040896,20507.4843585371,420.556914715645,0.359339866505922
"80","0707",207.226415647205,61.3643835616438,49.9039215686275,0,95.1151958078491,9046.90047356548,9.73851554624496,0.471635411149364,0.639067288750091,0,9.82705952719687,34.218,1170.871524,7470.84295380204,55.8134944403736,0
"81","0708",78.8118623100182,50.7639638149278,0,15.9864581774652,106.314805451737,11302.8378582407,10.3865217729048,0.467356940208397,0.765120897043631,0,8.6799412927789,32.689,1068.570721,21422.4765806552,458.922502848721,0
"82","0709",124.821443573307,67.3660947051842,16.6573464912281,9.74193548387097,174.769161379609,30544.2597693318,12.3501293041088,0.338897881141076,0.795300529442418,0,10.8499266159736,25.558,653.211364,26946.7445812944,726.12704352952,0
"83","0710",52.0671455775972,26.2709013438657,11.9113112125324,6.2396694214876,305.484789113518,93320.9563797305,12.2161108398438,0.406211103711809,0.726888166534876,0,0,70.062,4908.683844,31828.327211218,1013.04241306436,0
"84","0711",203.942520002879,67.2840111424635,37.5101516350103,15.4842428828041,205.307482379218,42151.1623208931,14.7292026253634,0.245936063530947,0.75578189221758,0,0,18.651,347.859801,30524.2401288042,931.7292354409,0
"85","0712",82.0465949159816,32.6617063765163,13.1187115102968,2.24137931034483,125.210194797761,15677.5928812933,22.486334385016,0.37139057180735,0.826250172502576,0,0,20.082,403.286724,36968.5191464119,1366.67140787862,0.000264084479035818
"86","0713",95.7025135624266,39.3984332576893,17.7874626127981,10.481447690729,218.114930336448,47574.1228356736,20.0168813641152,0.390407841819962,0.860632709641429,0,0,23.635,558.613225,31543.0411946577,994.963447807873,0.00978874814862477
